Rk,Name,Age,Tm,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rctch,Rdrs,Rdrs/yr,RszC,RsbC,RerC,RF/9,RF/G,PB,WP,SB,CS,CS%
100,Buster Posey\poseybu01,32,SFG,NL,101,96,84,846.1,819,771,46,2,1,0.998,7,10,7,14,20,9,2,-1,8.69,8.09,1,20,50,24,32%
101,Wilson Ramos\ramoswi01,31,NYM,NL,124,113,99,1016.1,1108,1051,50,7,5,0.994,-7,-8,-7,-13,-15,-9,-1,-3,9.75,8.88,10,31,94,17,15%
102,Raudy Read\readra01,25,WSN,NL,4,2,2,22,21,20,1,0,0,1,1,27,1,-1,-60,-1,0,0,8.59,5.25,0,1,0,1,100%
103,J.T. Realmuto\realmjt01,28,PHI,NL,133,130,117,1139.1,1174,1098,67,9,14,0.992,17,18,17,11,11,1,10,-3,9.2,8.76,8,30,49,43,47%
104,Rene Rivera\riverre01,35,NYM,NL,8,6,4,55,66,65,1,0,0,1,-2,-38,-2,-2,-46,0,-1,0,10.8,8.25,1,3,7,0,0%
105,Jake Rogers\rogerja03,24,DET,AL,34,34,32,302,301,287,13,1,0,0.997,0,-2,0,2,8,0,1,2,8.94,8.82,9,14,11,7,39%
106,Austin Romine\rominau01,30,NYY,AL,70,62,56,563.1,638,610,26,2,4,0.997,1,3,1,1,2,1,0,-1,10.16,9.09,6,18,23,10,30%
107,Gary Sanchez\sanchga02,26,NYY,AL,90,86,77,742.2,840,793,32,15,5,0.982,-4,-6,-4,-2,-3,-3,2,0,10,9.17,7,30,36,11,23%
108,Kyle Schwarber\schwaky01,26,CHC,NL,1,0,0,1,1,1,0,0,0,1,0,12,0,0,0,0,0,0,9,1,0,0,0,0,
109,Pedro Severino\severpe01,25,BAL,AL,89,80,71,719.2,692,655,29,8,5,0.988,-6,-9,-6,-11,-19,-8,1,0,8.55,7.69,10,40,42,13,24%
110,Chance Sisco\siscoch01,24,BAL,AL,52,45,36,394.1,345,332,7,6,0,0.983,-4,-13,-4,-10,-31,-4,-2,-1,7.74,6.52,1,20,25,5,17%
111,Kevan Smith\smithke04,31,LAA,AL,59,46,41,430,416,392,22,2,0,0.995,-5,-13,-5,-6,-17,-4,-2,1,8.67,7.02,0,29,30,5,14%
112,Will Smith\smithwi05,24,LAD,NL,46,45,43,403,456,436,20,0,1,1,2,5,2,3,9,3,0,-1,10.18,9.91,2,10,20,6,23%
113,Jacob Stallings\stallja01,29,PIT,NL,61,53,35,463.1,539,510,24,5,1,0.991,6,15,6,13,33,3,2,5,10.37,8.75,4,7,12,8,40%
114,Max Stassi\stassma01,28,TOT,MLB,46,44,26,352,392,370,20,2,2,0.995,-2,-8,-2,3,10,6,-2,-1,9.97,8.48,3,17,25,6,19%
115,Max Stassi\stassma01,28,HOU,AL,26,26,21,219,265,252,11,2,2,0.992,-3,-14,-3,2,10,4,-1,-1,10.81,10.12,2,9,17,3,15%
116,Max Stassi\stassma01,28,LAA,AL,20,18,5,133,127,118,9,0,0,1,0,1,0,1,8,2,-1,0,8.59,6.35,1,8,8,3,27%
117,Garrett Stubbs\stubbga01,26,HOU,AL,11,6,6,68.1,79,75,3,1,0,0.987,-1,-19,-1,-2,-37,-1,0,0,10.27,7.09,0,6,3,1,25%
118,Jesus Sucre\sucreje01,31,BAL,AL,18,17,16,147,117,111,5,1,3,0.991,1,5,1,-1,-9,-2,1,0,7.1,6.44,3,5,4,4,50%
119,Kurt Suzuki\suzukku01,35,WSN,NL,75,70,66,628.1,696,666,27,3,1,0.996,-7,-13,-7,-14,-27,-5,-5,-1,9.93,9.24,6,31,45,5,10%
