"playerid","version_date","name","age","team","lg","fraa_adj","fraa","csaa_chances","csaa","csaa_sd","csaa_runs","csaa_runs_sd","epaa_chances","epaa","epaa_runs","sraa_chances","sraa","traa","traa_runs","po_chances","po_runs"
"48082","2017-10-01","Martin Maldonado","30","ANA","AL","32.0","32.1","8267",".022",".001","27.2","1.9","5294","-.001","1.0","68","-.070","0.000","0.000","1913",".509"
"70397","2017-10-01","Austin Hedges","24","SDN","NL","30.3","34.1","6716",".027",".003","28.0","3.3","4537","-.001","1.3","60","-.055","-.005","-.025","1724","-1.239"
"52532","2017-10-01","Tyler Flowers","31","ATL","NL","30.1","29.5","5348",".039",".003","32.0","2.5","3763",".001","-.8","60",".028",".005","0.000","1486",".040"
"65870","2017-10-01","Yasmani Grandal","28","LAN","NL","26.2","27.7","6735",".025",".002","26.2","2.0","4553",".001","-1.4","56","-.033",".003","0.000","1650",".155"
"59467","2017-10-01","Roberto Perez","28","CLE","AL","19.7","19.8","4255",".027",".002","17.6","1.5","2907","-.003","2.2","25","-.024","-.006","-.016","983","-.483"
"58767","2017-10-01","Christian Vazquez","26","BOS","AL","19.6","16.4","5935",".017",".002","15.5","1.8","4134","-.001","1.0","41","-.085","-.004","-.016","1470",".727"
"58842","2017-10-01","Caleb Joseph","31","BAL","AL","19.6","19.8","4629",".025",".004","17.3","2.9","3112","-.004","3.7","50",".043","-.002","-.005","1145","-.080"
"69513","2017-10-01","Austin Barnes","27","LAN","NL","15.8","15.0","2931",".033",".002","14.8",".8","1982","-.003","1.6","28",".028","-.002","-.003","0","0.000"
"52461","2017-10-01","Welington Castillo","30","BAL","AL","12.4","10.8","5967",".007",".003","6.8","2.5","4167","-.001","1.3","48","-.098","-.004","-.017","1535","1.178"
"55951","2017-10-01","Sandy Leon","28","BOS","AL","10.7","10.8","4952",".013",".001","9.7","1.1","3302","0.000",".4","39","-.076",".001","0.000","1158","-1.353"
"46150","2017-10-01","Chris Iannetta","34","ARI","NL","10.0","11.2","4642",".015",".004","11.0","2.6","3196",".001","-1.1","24","-.012","-.002","-.005","1169","-.092"
"31391","2017-10-01","Yadier Molina","34","SLN","NL","9.3","6.0","8386",".005",".002","6.4","2.5","5457","0.000",".2","52","-.065","-.010","-.056","2100",".508"
"67084","2017-10-01","J.T. Realmuto","26","MIA","NL","9.1","16.1","8394",".004",".002","5.3","3.1","5763","-.001","1.7","63","-.023","-.001","-.004","2185","1.146"
"55784","2017-10-01","Travis d'Arnaud","28","NYN","NL","9.0","11.4","5894",".012",".003","11.2","2.5","4044","-.001",".9","54",".083","-.007","-.031","0","0.000"
"31602","2017-10-01","Jeff Mathis","34","ARI","NL","8.9","10.2","3248",".018",".002","8.9","1.0","2277",".001","-.7","27","-.059",".004","0.000","784","-.385"
"58831","2017-10-01","Jason Castro","30","MIN","AL","8.1","7.7","6406",".009",".002","8.3","1.9","4161","0.000",".3","49",".005","-.006","-.026","1680","-.343"
"60834","2017-10-01","Yan Gomes","29","CLE","AL","7.6","6.8","5758",".005",".002","4.2","1.3","3743","0.000",".5","50","-.069","-.003","-.011","1332",".599"
"58548","2017-10-01","Buster Posey","30","SFN","NL","7.4","10.5","5892",".005",".004","4.8","3.3","3877","0.000",".2","51","-.067","-.004","-.017","1568",".195"
"68087","2017-10-01","Gary Sanchez","24","NYA","AL","7.2","5.4","6095",".008",".003","7.4","2.5","4323",".003","-3.1","56","-.061",".006","0.000","1470",".622"
"47575","2017-10-01","Chris Gimenez","34","MIN","AL","6.1","5.1","3661",".009",".003","5.3","1.6","2399","0.000",".2","37","-.025",".003","0.000","929",".026"
"51184","2017-10-01","Jesus Sucre","29","TBA","AL","5.7","3.1","3371",".008",".002","4.1","1.1","2242","-.001",".9","24",".022","-.002","-.004","831","1.041"
"51220","2017-10-01","Juan Graterol","28","ANA","AL","5.7","5.7","1701",".011",".001","2.9",".2","1190","-.007","2.3","26","-.038","-.002","-.003","437","-.215"
"99903","2017-10-01","Mike Zunino","26","SEA","AL","5.6","6.3","6961",".010",".002","10.9","2.3","4468",".002","-3.1","66",".012",".001","0.000","3488","-1.715"
"57520","2017-10-01","Austin Romine","28","NYA","AL","4.3","5.2","3727",".011",".003","6.3","1.9","2605","0.000","-.3","26",".072","-.001","-.002","917","-.451"
"100036","2017-10-01","Luke Maile","26","TOR","AL","3.9","4.3","2306",".011",".004","3.8","1.3","1542","-.002",".8","23","-.010","0.000","0.000","1150","-.761"
"56945","2017-10-01","Stephen Vogt","32","OAK","AL","3.8","-1.0","2439",".014",".004","5.3","1.4","1647","-.001",".2","39",".066",".004","0.000","0","0.000"
"69886","2017-10-01","Rafael Lopez","29","TOR","AL","3.7","5.2","1232",".017",".002","3.2",".4","874","-.006","1.3","12",".041","-.004","-.003","612","-.497"
"56945","2017-10-01","Stephen Vogt","32","MIL","NL","3.3","0.0","1893",".015",".004","4.3","1.1","1262","0.000","1.4","28",".120",".009","0.000","0","0.000"
"102864","2017-10-01","Francisco Mejia","21","CLE","AL","3.2","0.0","16",".002",".001","0.0","0.0","8","-.008","0.0","0","0.000","-.001","0.000","6","3.183"
"70619","2017-10-01","Carson Kelly","22","SLN","NL","3.2","3.0","1075",".015",".005","2.5",".8","719","-.002",".4","10","-.020","-.005","-.003","558",".209"
"48685","2017-10-01","Manny Pina","30","MIL","NL","3.0","1.4","5615","-.003",".002","-2.9","1.9","3809","-.001",".7","52","-.055",".002","0.000","1434","3.251"
"60649","2017-10-01","Josh Phegley","29","OAK","AL","2.7","3.2","2910",".008",".002","3.4",".7","2124",".002","-1.0","34","-.046",".006","0.000","1552","-.763"
"43258","2017-10-01","Chris Stewart","35","PIT","NL","2.6","3.3","2528",".006",".002","2.3",".9","1776","-.001",".6","26","-.004","-.003","-.007","684","-.336"
"39835","2017-10-01","Miguel Montero","33","CHN","NL","1.9",".6","1571",".016",".003","3.8",".8","1017","-.001",".3","28",".102",".007","0.000","746","-.367"
"65828","2017-10-01","Rocky Gale","29","SDN","NL","1.8","-.3","162",".001",".005","0.0",".1","102",".004","-.1","5",".045",".003","0.000","40","2.004"
"100653","2017-10-01","Tomas Nido","23","NYN","NL","1.7",".3","163",".003",".008",".1",".2","155","-.007",".3","1",".018","-.001","0.000","53","1.318"
"39835","2017-10-01","Miguel Montero","33","TOR","AL","1.6","0.0","1474",".015",".003","3.4",".7","1078","0.000",".7","23",".125",".009","0.000","858","-.422"
"57969","2017-10-01","Kyle Higashioka","27","NYA","AL","1.5","1.6","394",".028",".005","1.7",".3","305",".001","-.1","2",".026","-.001","0.000","97","-.048"
"65953","2017-10-01","Rob Brantly","27","CHA","AL","1.3","-.1","314","-.011",".005","-.5",".2","224","-.007",".5","4",".014","-.001","0.000","83","1.409"
"41774","2017-10-01","Rene Rivera","33","NYN","NL","1.2",".4","3403",".004",".002","1.9",".9","2270",".002","-1.1","27","-.023",".001","0.000","834",".073"
"70307","2017-10-01","John Hicks","27","DET","AL","1.2",".5","876",".007",".001",".9",".1","621","0.000","-.1","6",".007","0.000","0.000","229",".371"
"45447","2017-10-01","Russell Martin","34","TOR","AL","1.1","1.6","4919",".003",".003","2.6","2.1","3359","0.000","-.2","52",".030","0.000","0.000","1247","-.130"
"67758","2017-10-01","Evan Gattis","30","HOU","AL","1.1",".8","3025",".008",".001","3.8",".5","2124",".001","-.7","36",".078",".007","0.000","0","0.000"
"70466","2017-10-01","Michael Marjama","27","SEA","AL","1.1",".1","155","-.005",".001","-.1","0.0","122","-.006",".2","1","-.010","-.001","0.000","42",".946"
"70302","2017-10-01","Taylor Davis","27","CHN","NL","1.0","0.0","27",".003",".002","0.0","0.0","31","-.009",".1","2",".025",".001","0.000","10",".961"
"70378","2017-10-01","Curtis Casali","28","TBA","AL",".8",".6","176",".023",".004",".6",".1","184",".002","-.1","2","0.000",".001","0.000","51",".262"
"60640","2017-10-01","Michael Ohlman","26","TOR","AL",".7","-.1","249","-.015",".002","-.6",".1","197","-.008",".4","2",".026","-.002","0.000","87",".923"
"70394","2017-10-01","Cameron Gallagher","24","KCA","AL",".6","-.2","409","-.003",".003","-.2",".2","247","-.004",".2","7",".029","0.000","0.000","112",".715"
"59431","2017-10-01","Max Stassi","26","HOU","AL",".5",".5","445",".003",".006",".2",".4","322","-.004",".4","2","-.003","-.001","0.000","107","-.053"
"57096","2017-10-01","Francisco Pena","27","BAL","AL",".5",".5","199",".007",".003",".2",".1","171","-.007",".3","2",".016","0.000","0.000","62","-.030"
"58217","2017-10-01","Tim Federowicz","29","SFN","NL",".5",".1","135","-.007",".002","-.2",".1","102","-.006",".2","1",".018","0.000","0.000","29",".469"
"58320","2017-10-01","A.J. Jimenez","27","TEX","AL",".4","-.1","135","-.010",".002","-.2","0.0","66","-.005",".1","0","0.000","-.001","0.000","26",".470"
"66535","2017-10-01","David Freitas","28","ATL","NL",".3",".4","309",".007",".008",".3",".4","192","-.001","0.0","2","-.001","-.002","0.000","69","-.034"
"69314","2017-10-01","Pedro Severino","23","WAS","NL",".3",".3","392",".011",".003",".7",".2","280",".005","-.4","4","-.012","0.000","0.000","212","-.104"
"33829","2017-10-01","Robinson Chirinos","33","TEX","AL",".2","-.2","5164","-.002",".004","-1.6","2.8","3504","-.002","2.4","54",".023","-.002","-.006","1315",".320"
"60633","2017-10-01","John Ryan Murphy","26","ARI","NL",".2",".2","98",".005",".004",".1",".1","90","-.005",".1","0","0.000",".001","0.000","28","-.014"
"59818","2017-10-01","Tomas Telis","26","MIA","NL",".2","-1.6","118","-.020",".004","-.4",".1","98","-.005",".1","3",".030",".001","0.000","33",".467"
"59074","2017-10-01","Carlos Perez","26","ANA","AL",".1",".1","337",".008",".006",".4",".3","265",".004","-.3","9","-.016",".006","0.000","180","-.088"
"70673","2017-10-01","Tom Murphy","26","COL","NL",".1",".5","448","-.005",".004","-.3",".2","354","-.006",".6","5",".019","0.000","0.000","135","-.066"
"49364","2017-10-01","Tuffy Gosewisch","33","SEA","AL",".1",".1","558",".003",".003",".2",".2","332","0.000","0.0","4",".018","0.000","0.000","254","-.125"
"100171","2017-10-01","Kyle Farmer","26","LAN","NL",".1",".2","37",".004",".002","0.0","0.0","37","-.006",".1","0","0.000","0.000","0.000","26","-.013"
"68982","2017-10-01","Chad Wallach","25","CIN","NL","0.0",".1","143","-.007",".001","-.2","0.0","77","-.010",".2","1",".014","-.001","0.000","36","-.018"
"38161","2017-10-01","Erik Kratz","37","NYA","AL","0.0","0.0","26","-.014",".005","-.1","0.0","21","-.012",".1","0","0.000","0.000","0.000","5","-.002"
"51653","2017-10-01","Eduardo Escobar","28","MIN","AL","0.0","-5.9","4","0.000","0.000","0.0","0.0","0","0.000","0.0","0","0.000","0.000","0.000","0","0.000"
"58373","2017-10-01","Ryan Lavarnway","29","OAK","AL","0.0","-.5","267",".001",".004","0.0",".2","192",".009","-.5","2","-.001","0.000","0.000","70",".449"
"41774","2017-10-01","Rene Rivera","33","CHN","NL","-.2","-.1","923",".004",".002",".5",".2","687",".009","-1.6","7","0.000",".001","0.000","221",".374"
"46537","2017-10-01","Anthony Recker","33","ATL","NL","-.3","-.3","84","-.007",".005","-.1",".1","57",".011","-.2","1",".017","-.001","0.000","40","-.020"
"69306","2017-10-01","Raudy Read","23","WAS","NL","-.4","-.4","94","-.017",".006","-.2",".1","81",".005","-.1","1",".016",".001","0.000","26","-.013"
"70779","2017-10-01","Andrew Susac","27","MIL","NL","-.4","-.4","125","-.009",".002","-.2","0.0","77",".009","-.2","0","0.000","0.000","0.000","58","-.029"
"56298","2017-10-01","Eric Fryer","31","SLN","NL","-.4","-.3","1171","-.003",".002","-.5",".4","653","-.001",".2","8","-.007","-.001","-.001","243","-.119"
"70407","2017-10-01","Blake Swihart","25","BOS","AL","-.4","-.4","78",".005",".005",".1",".1","50",".033","-.5","1",".015",".002","0.000","14","-.007"
"102064","2017-10-01","Victor Caratini","23","CHN","NL","-.6","-.6","538","-.012",".002","-1.0",".2","322","-.006",".5","5","-.006","0.000","0.000","120","-.059"
"47910","2017-10-01","Jose Lobaton","32","WAS","NL","-.6",".7","2947","0.000",".003",".1","1.4","1976","-.002","1.0","38",".043",".003","0.000","699","-.540"
"49076","2017-10-01","Kurt Suzuki","33","ATL","NL","-.7","1.9","4746","-.001",".002","-.6","1.2","3241","-.002","1.4","48",".027","-.002","-.008","1252","-.615"
