"playerid","version_date","name","age","team","lg","fraa_adj","fraa","csaa_chances","csaa","csaa_sd","csaa_runs","csaa_runs_sd","epaa_chances","epaa","epaa_runs","sraa_chances","sraa","traa","traa_runs","po_chances","po_runs"
"65870","2018-10-01","Yasmani Grandal","29","LAN","NL","16.3","17.7","6851",".015",".001","15.7",".9","4643","-.001",".8","60","-.001",".001","0.000","627","-.192"
"31602","2018-10-01","Jeff Mathis","35","ARI","NL","14.1","18.4","3713",".021",".003","11.8","1.6","2640","-.003","2.3","22","-.003","-.003","-.008","227","-.070"
"59431","2018-10-01","Max Stassi","27","HOU","AL","14.0","14.5","4170",".022",".003","13.9","2.2","2767","0.000",".1","36",".002","0.000","0.000","0","0.000"
"52532","2018-10-01","Tyler Flowers","32","ATL","NL","13.0","13.2","4499",".020",".002","13.7","1.1","3020","0.000","-.4","49",".005",".010","0.000","307","-.086"
"70397","2018-10-01","Austin Hedges","25","SDN","NL","12.6","11.8","5355",".016",".002","13.0","1.7","3674","0.000",".1","51",".010","-.001","-.004","375","-.115"
"59467","2018-10-01","Roberto Perez","29","CLE","AL","12.1","11.1","3374",".021",".004","10.9","2.0","2400","-.002","1.6","32",".011","-.001","-.001","289","-.089"
"55951","2018-10-01","Sandy Leon","29","BOS","AL","11.7","11.7","4892",".016",".002","11.6","1.7","3331","0.000",".1","30","-.003","-.001","-.003","265","-.081"
"38161","2018-10-01","Erik Kratz","38","MIL","NL","11.1","10.4","3569",".018",".003","9.9","1.7","2473","-.002","1.3","37",".003",".002","0.000","23","-.007"
"68062","2018-10-01","Jorge Alfaro","25","PHI","NL","10.2","12.2","6302",".013",".002","12.3","1.6","4157",".002","-2.4","67","0.000",".007","0.000","499",".330"
"60633","2018-10-01","John Ryan Murphy","27","ARI","NL","9.9","10.2","3267",".019",".002","9.3","1.1","2450","-.001",".3","27",".004","-.001","-.002","624",".300"
"66017","2018-10-01","Tony Wolters","26","COL","NL","9.6","10.7","3414",".019",".003","10.2","1.8","2378",".001","-.6","28","-.011","-.001","-.002","351","-.108"
"60834","2018-10-01","Yan Gomes","30","CLE","AL","9.6","9.1","6527",".008",".002","7.5","1.9","4275","-.001","1.7","66","-.001","0.000","0.000","511",".326"
"69513","2018-10-01","Austin Barnes","28","LAN","NL","9.2","10.1","2837",".019",".005","8.3","2.0","1970","-.002","1.0","18",".004","-.006","-.013","194","-.060"
"58767","2018-10-01","Christian Vazquez","27","BOS","AL","9.0","8.3","4670",".013",".002","9.0","1.4","3117","0.000",".1","32","-.005","-.003","-.009","601","-.184"
"45447","2018-10-01","Russell Martin","35","TOR","AL","8.4","8.1","4653",".010",".002","7.3","1.4","3245","-.002","1.6","65",".008",".004","0.000","569","-.175"
"100036","2018-10-01","Luke Maile","27","TOR","AL","8.2","9.5","3897",".014",".003","8.1","2.0","2783","0.000",".1","41","-.003","-.003","-.009","384","-.118"
"99903","2018-10-01","Mike Zunino","27","SEA","AL","6.6","6.4","6245",".008",".002","7.5","1.7","4071",".001","-1.1","47","-.013","-.002","-.011","415","-.127"
"48685","2018-10-01","Manny Pina","31","MIL","NL","6.3","7.0","5497",".006",".002","4.8","2.0","3516","-.001","1.3","41","-.019","-.001","-.005","486","-.345"
"57520","2018-10-01","Austin Romine","29","NYA","AL","6.3","6.8","4511",".006",".002","4.2","1.3","3274","-.002","2.2","53",".001",".001","0.000","279","-.086"
"57969","2018-10-01","Kyle Higashioka","28","NYA","AL","4.4","3.8","1390",".015",".002","3.2",".4","1125","-.003",".8","14",".006",".001","0.000","15",".478"
"58899","2018-10-01","Alex Avila","31","ARI","NL","4.3","3.2","3507",".007",".003","3.7","1.6","2301","-.001",".3","24","-.001","-.004","-.009","399",".349"
"67016","2018-10-01","Bryan Holaday","30","MIA","NL","4.0","4.5","2781",".007",".003","2.8","1.3","1867","-.002",".9","33","-.018",".006","0.000","296","-.100"
"48082","2018-10-01","Martin Maldonado","31","ANA","AL","4.0","1.1","4987",".005",".002","4.1","1.5","3447",".001","-.8","27","-.018","0.000","0.000","604",".298"
"49220","2018-10-01","Bobby Wilson","35","MIN","AL","3.7","4.1","2811",".007",".002","3.0","1.0","1967","-.001",".7","24","-.002","-.007","-.014","145","-.044"
"31391","2018-10-01","Yadier Molina","35","SLN","NL","3.5","1.4","7672",".002",".002","2.3","2.5","5154","-.001","1.2","26","-.009","-.010","-.053","511","-.157"
"100653","2018-10-01","Tomas Nido","24","NYN","NL","3.3","3.4","1473",".016",".003","3.5",".6","984","0.000","-.1","23","-.002","0.000","0.000","450","-.138"
"70394","2018-10-01","Cameron Gallagher","25","KCA","AL","2.6","2.4","1031",".010",".004","1.5",".6","679","-.006","1.0","6",".002","-.003","-.002","95","-.029"
"48082","2018-10-01","Martin Maldonado","31","HOU","AL","2.6","2.0","2070",".005",".002","1.7",".6","1404",".001","-.3","8","0.000",".001","0.000","11",".963"
"68982","2018-10-01","Chad Wallach","26","MIA","NL","2.5","2.6","857",".017",".004","2.2",".5","571","-.002",".3","7","-.012","-.003","-.002","148","-.045"
"58831","2018-10-01","Jason Castro","31","MIN","AL","2.2","2.5","1174",".008",".002","1.4",".4","953","-.003",".9","14","-.006","-.003","-.003","366","-.112"
"47575","2018-10-01","Chris Gimenez","35","CHN","NL","2.1","1.6","562",".012",".005","1.0",".5","429","-.005",".6","8","-.003",".002","0.000","4",".482"
"58548","2018-10-01","Buster Posey","31","SFN","NL","2.0","1.6","5604",".001",".002",".9","1.8","3555","-.001",".7","52","-.004","-.004","-.014","562",".311"
"103405","2018-10-01","Danny Jansen","23","TOR","AL","1.8","1.0","1548",".002",".002",".6",".6","1151","-.002",".7","27",".009",".002","0.000","17",".765"
"65828","2018-10-01","Rocky Gale","30","LAN","NL","1.7","0.0","10","-.001",".001","0.0","0.0","7","-.001","0.0","0","0.000",".001","0.000","2","1.736"
"66085","2018-10-01","Willians Astudillo","26","MIN","AL","1.6","1.9","1014",".007",".002","1.1",".3","684","-.003",".5","7","-.001","-.001","0.000","36","-.012"
"69886","2018-10-01","Rafael Lopez","30","SDN","NL","1.6","3.2","1703",".005",".004","1.3","1.0","1058","-.001",".4","13",".003","0.000","0.000","238","-.073"
"60238","2018-10-01","Dustin Garneau","30","CHA","AL","1.5","-.3","69","-.001",".002","0.0","0.0","62","-.006",".1","1",".008","0.000","0.000","18","1.444"
"70302","2018-10-01","Taylor Davis","28","CHN","NL","1.5",".1","28","0.000",".001","0.0","0.0","14","-.004","0.0","0","0.000","0.000","0.000","4","1.448"
"70407","2018-10-01","Blake Swihart","26","BOS","AL","1.4","-.3","1209",".004",".002",".7",".4","862","-.003",".7","16",".002","0.000","0.000","0","0.000"
"46150","2018-10-01","Chris Iannetta","35","COL","NL","1.2","-.5","5660",".002",".002","1.4","1.6","3656","0.000",".3","45",".013",".003","0.000","499","-.153"
"101630","2018-10-01","Reese McGuire","23","TOR","AL","1.0",".7","615",".004",".003",".4",".3","435","-.004",".5","14",".007",".005","0.000","16",".176"
"55784","2018-10-01","Travis d'Arnaud","29","NYN","NL","1.0","1.0","343",".019",".004","1.0",".2","218","-.001",".1","8",".003",".006","0.000","0","0.000"
"66535","2018-10-01","David Freitas","29","SEA","AL","1.0","1.0","1823",".001",".003",".3",".8","1196","-.003",".8","17",".006",".001","0.000","247","-.076"
"46714","2018-10-01","Jarrod Saltalamacchia","33","DET","AL","1.0","0.0","4","-.003",".001","0.0","0.0","0","0.000","0.0","0","0.000","0.000","0.000","0",".966"
"71213","2018-10-01","Jacob Stallings","28","PIT","NL",".9",".1","609","-.007",".006","-.7",".5","494","-.004",".5","6",".003","-.005","-.002","5","1.056"
"67621","2018-10-01","Jose Briceno","25","ANA","AL",".9","0.0","2161",".004",".004","1.2","1.2","1469",".002","-.6","15","0.000",".003","0.000","16",".282"
"70926","2018-10-01","Aramis Garcia","25","SFN","NL",".7","0.0","377",".008",".004",".4",".2","222","-.005",".3","3",".001","-.001","0.000","14","-.005"
"69944","2018-10-01","Kevan Smith","30","CHA","AL",".7",".1","3125",".003",".002","1.5","1.2","2078",".002","-.9","40",".012",".006","0.000","20",".478"
"47575","2018-10-01","Chris Gimenez","35","MIN","AL",".7",".3","444",".012",".005",".8",".4","319",".001","-.1","3","0.000",".001","0.000","30","-.011"
"69938","2018-10-01","Beau Taylor","28","OAK","AL",".7",".2","75",".011",".005",".1",".1","29","-.006","0.0","2","-.012",".002","0.000","0",".483"
"60002","2018-10-01","Chris Herrmann","30","SEA","AL",".7",".1","1240",".003",".003",".5",".6","755","-.001",".1","14","-.002","-.002","-.002","0","0.000"
"49829","2018-10-01","Wilson Ramos","30","TBA","AL",".6","-.8","4286","0.000",".002",".2","1.5","2763","0.000",".3","29",".010",".002","0.000","556",".312"
"51220","2018-10-01","Juan Graterol","29","ANA","AL",".6",".1","18",".008",".003","0.0","0.0","18","-.016",".1","1","-.004",".001","0.000","8",".481"
"51220","2018-10-01","Juan Graterol","29","MIN","AL",".5","0.0","135",".010",".004",".2",".1","79",".007","-.2","0","0.000",".001","0.000","0",".483"
"101989","2018-10-01","Joe Hudson","27","ANA","AL",".5",".6","272",".012",".002",".5",".1","189","0.000","0.0","0","0.000","0.000","0.000","0","0.000"
"69314","2018-10-01","Pedro Severino","24","WAS","NL",".5","0.0","3590",".001",".002",".3","1.1","2389","0.000",".2","37","-.004",".005","0.000","419","-.129"
"67084","2018-10-01","J.T. Realmuto","27","MIA","NL",".4","4.3","7258","0.000",".002","-.4","1.9","4638","-.001",".9","49","-.005","-.007","-.035","598","-.163"
"39835","2018-10-01","Miguel Montero","34","WAS","NL",".4",".4","211",".009",".004",".3",".1","140","-.004",".2","1",".021","0.000","0.000","0","0.000"
"49829","2018-10-01","Wilson Ramos","30","PHI","NL",".3","0.0","1356","0.000",".002",".1",".4","969",".001","-.3","15","0.000",".011","0.000","19",".281"
"41774","2018-10-01","Rene Rivera","34","ATL","NL",".2",".2","60",".007",".003",".1","0.0","35","0.000",".2","1",".093",".016","0.000","3","-.001"
"70516","2018-10-01","Eric Haase","25","CLE","AL",".2",".2","182",".001",".005","0.0",".1","125","-.005",".2","5","-.001",".001","0.000","0","0.000"
"43258","2018-10-01","Chris Stewart","36","ATL","NL",".1","-.4","287","-.008",".004","-.3",".2","203","0.000","0.0","4","-.005",".004","0.000","80",".459"
"41774","2018-10-01","Rene Rivera","34","ANA","AL",".1",".5","1507",".007",".003","1.6",".7","1064",".006","-1.6","13","-.019",".001","0.000","249","-.076"
"58217","2018-10-01","Tim Federowicz","30","CIN","NL",".1","0.0","93","-.003",".003","0.0","0.0","70","0.000",".1","1","0.000","0.000","0.000","5","-.002"
"100171","2018-10-01","Kyle Farmer","27","LAN","NL","0.0","1.2","17",".002",".002","0.0","0.0","13","-.003","0.0","0","0.000",".001","0.000","4","-.001"
"59593","2018-10-01","Steven Baron","27","SLN","NL","0.0","0.0","83","-.002",".003","0.0","0.0","60","-.003",".1","1",".008",".001","0.000","16","-.005"
"67758","2018-10-01","Evan Gattis","31","HOU","AL","0.0","0.0","18","-.001",".001","0.0","0.0","11","-.002","0.0","0","0.000","0.000","0.000","0","0.000"
"31759","2018-10-01","Joe Mauer","35","MIN","AL","0.0","2.0","1","0.000","0.000","0.0","0.0","0","0.000","0.0","0","0.000","0.000","0.000","0","0.000"
"60379","2018-10-01","Dan Butler","31","BOS","AL","-.1","-.1","144","-.009",".003","-.2",".1","116","-.003",".1","5","-.013",".004","0.000","22","-.007"
"104290","2018-10-01","Meibrys Viloria","21","KCA","AL","-.1","-1.0","489","0.000",".005","0.0",".4","344",".009","-.8","10","-.002",".008","0.000","8",".767"
"69201","2018-10-01","Alfredo Gonzalez","25","CHA","AL","-.1","-.6","171","-.010",".005","-.3",".1","117",".010","-.3","3",".001",".004","0.000","38",".471"
"55701","2018-10-01","Juan Centeno","28","TEX","AL","-.2","-.7","628","-.002",".006","-.2",".6","405",".004","-.4","0","0.000",".002","0.000","318",".386"
"101609","2018-10-01","Nick Ciuffo","23","TBA","AL","-.2","-1.2","727","-.003",".005","-.4",".5","458",".005","-.6","7",".001",".002","0.000","10",".767"
"59074","2018-10-01","Carlos Perez","27","ATL","NL","-.3","-.8","407","-.014",".002","-.9",".1","287","-.002",".1","4","-.011",".006","0.000","102",".452"
