last_name, first_name,fielder_2,year,n_called_pitches,runs_extra_strikes,strike_rate,strike_rate_11,strike_rate_12,strike_rate_13,strike_rate_14,strike_rate_16,strike_rate_17,strike_rate_18,strike_rate_19
,999999,2015,143677,0,46.6,19.8,35.7,11.9,75.7,59.5,37.4,44.3,21.3
Baron, Steven,571467,2015,102,0,53.9,0.0,60.0,100.0,86.4,52.6,47.1,61.9,8.3
Lobaton, Jose,446653,2015,1070,3,52.5,20.0,28.9,14.9,79.9,61.8,47.7,51.6,38.1
Cervelli, Francisco,465041,2015,3482,21,52.4,14.4,30.6,12.6,71.8,67.7,50.8,53.2,33.5
Ross, David,424325,2015,1321,3,52.3,19.1,30.2,6.1,76.5,68.0,38.5,49.5,32.6
Grandal, Yasmani,518735,2015,2801,24,52.2,31.3,50.7,19.7,74.1,74.6,38.3,37.1,35.2
Posey, Buster,457763,2015,2633,14,52.1,19.2,47.4,8.8,75.6,68.9,38.6,46.7,28.0
Plawecki, Kevin,608700,2015,1818,8,51.8,11.8,42.2,6.3,76.1,69.2,42.0,52.9,29.2
Hedges, Austin,595978,2015,1209,6,51.8,23.3,35.6,17.2,74.6,67.2,44.6,59.1,19.2
Castro, Jason,488771,2015,2876,10,51.3,23.0,35.6,16.7,74.8,73.9,37.6,45.7,28.3
Montero, Miguel,471083,2015,2770,13,51.2,16.5,32.3,11.1,78.4,65.5,46.5,54.3,28.0
Stewart, Chris,455755,2015,1127,4,51.2,4.1,38.7,14.0,71.9,62.6,48.8,55.7,31.0
Flowers, Tyler,452095,2015,2778,9,50.6,9.8,35.2,12.4,69.6,67.5,41.9,55.4,32.5
Mesoraco, Devin,519023,2015,144,0,50.0,20.0,27.3,0.0,84.8,60.0,53.3,39.3,23.1
d'Arnaud, Travis,518595,2015,2241,7,49.8,18.1,37.2,13.3,76.7,59.6,45.1,52.5,24.9
Mathis, Jeff,425772,2015,832,2,49.6,15.0,24.3,11.1,67.6,65.0,43.5,53.0,40.8
Rivera, Rene,425784,2015,2487,7,49.4,23.8,35.6,5.7,80.6,59.0,48.2,50.8,20.4
Sucre, Jesus,491696,2015,1219,4,49.1,18.0,35.9,8.3,78.0,55.8,40.2,49.4,26.5
Susac, Andrew,572180,2015,910,2,48.9,11.7,35.3,13.8,73.5,73.1,37.8,45.4,20.2
Iannetta, Chris,455104,2015,2432,8,48.8,28.0,44.1,14.1,75.0,62.8,37.7,46.1,23.5
Maldonado, Martin,455117,2015,2041,3,48.5,15.0,30.7,16.9,77.7,63.2,38.2,48.5,29.5
Hanigan, Ryan,452672,2015,1556,1,48.5,18.4,39.4,15.9,76.0,59.5,41.8,51.5,23.3
Zunino, Mike,572287,2015,2833,7,48.5,26.4,37.5,9.1,76.8,53.1,34.5,53.6,27.7
Solano, Jhonatan,500207,2015,163,0,48.5,22.2,33.3,11.1,69.0,75.8,16.7,57.1,16.7
Molina, Yadier,425877,2015,3481,8,48.3,18.5,44.6,13.3,76.6,61.8,37.0,42.5,19.8
Norris, Derek,519083,2015,3405,15,48.2,19.6,35.5,11.9,83.0,57.5,51.4,41.9,18.9
Murphy, John Ryan,571974,2015,1424,0,48.2,20.2,37.1,6.0,82.6,55.3,39.3,46.5,15.3
Conger, Hank,474233,2015,1585,1,48.0,18.3,33.0,9.4,75.3,65.0,40.0,48.8,30.2
Corporan, Carlos,449786,2015,989,1,47.9,22.7,40.8,8.3,78.7,53.7,48.6,46.2,19.1
Lucroy, Jonathan,518960,2015,2388,1,47.4,20.6,33.2,10.4,76.1,62.3,42.2,48.8,20.5
Wilson, Bobby,435064,2015,1278,3,47.4,24.2,38.2,13.7,80.0,56.8,30.9,51.1,22.8
Fryer, Eric,518700,2015,212,0,47.2,25.0,20.0,0.0,68.4,68.4,50.0,50.9,13.3
Schwarber, Kyle,656941,2015,441,0,47.2,20.0,45.2,11.1,68.5,70.9,22.7,32.3,35.9
Perez, Roberto,547379,2015,1717,1,47.1,20.2,32.1,17.1,72.9,64.1,39.5,46.4,25.7
Joseph, Caleb,543376,2015,2759,5,47.1,23.1,38.2,11.0,83.7,51.2,40.8,45.5,19.0
Soto, Geovany,434567,2015,1495,0,47.0,11.7,34.4,11.9,75.2,62.8,29.4,49.2,30.2
Barnhart, Tucker,571466,2015,2004,1,46.9,19.2,17.9,3.4,74.2,56.1,41.3,49.1,29.9
Casali, Curt,592200,2015,848,0,46.6,16.9,33.7,0.0,87.2,48.1,39.6,48.7,5.6
Gosewisch, Tuffy,488912,2015,953,0,46.4,9.1,29.4,11.1,73.7,60.5,39.8,42.7,24.2
Ramos, Wilson,467092,2015,3196,-4,46.4,33.0,49.7,17.4,82.1,51.3,26.5,35.4,7.0
Brown, Trevor,623143,2015,352,-1,46.3,10.3,40.6,6.7,80.7,50.8,45.2,40.9,12.5
McKenry, Michael,502374,2015,835,-1,46.3,26.8,47.8,10.5,78.8,55.4,36.3,44.2,13.2
Wieters, Matt,446308,2015,1633,-1,46.1,28.3,41.3,15.9,82.6,45.0,41.9,39.5,8.3
Cruz, Tony,488810,2015,889,0,46.0,18.5,27.2,2.9,75.3,65.5,33.3,38.8,23.8
Martin, Russell,431145,2015,3378,-2,45.9,25.5,36.1,11.0,77.3,55.4,36.9,44.8,15.9
Phegley, Josh,572033,2015,1756,-4,45.9,14.8,19.0,5.4,79.3,54.8,35.8,47.8,25.9
McCann, Brian,435263,2015,3511,-5,45.9,20.9,22.6,4.6,82.6,48.9,44.0,46.6,15.6
Holaday, Bryan,592407,2015,485,0,45.8,4.3,22.2,4.5,72.2,64.0,38.3,43.9,22.9
Suzuki, Kurt,435559,2015,3534,-11,45.7,13.1,24.8,8.2,75.0,59.3,40.8,44.0,23.0
Pacheco, Jordan,457574,2015,434,0,45.6,15.4,23.8,18.8,81.3,54.7,43.6,41.9,18.5
Vogt, Stephen,519390,2015,2619,-3,45.6,15.1,26.5,12.5,77.9,62.1,31.5,38.6,21.5
Perez, Carlos,542208,2015,2115,-1,45.6,24.8,37.9,7.1,74.0,52.3,32.2,48.9,18.0
Clevenger, Steve,502182,2015,197,0,45.2,22.2,36.8,0.0,72.1,61.1,33.3,37.8,28.0
Recker, Anthony,489232,2015,623,-2,44.8,5.7,26.6,15.4,73.0,65.1,25.5,39.3,19.0
Rupp, Cameron,519237,2015,2127,-5,44.6,16.5,30.5,13.2,76.2,60.1,25.6,43.5,21.1
Pierzynski, A.J.,150229,2015,2928,-8,44.6,21.6,39.3,13.8,77.3,57.1,38.2,33.1,16.1
Castillo, Welington,456078,2015,2508,-3,44.6,11.2,28.1,6.5,68.2,59.1,33.4,48.1,22.1
Realmuto, J.T.,592663,2015,3260,-7,44.5,16.1,31.3,10.0,72.5,54.1,36.0,47.5,18.1
Chirinos, Robinson,455139,2015,2328,-7,44.4,13.7,34.2,4.1,75.2,56.0,36.0,42.9,20.6
Gomes, Yan,543228,2015,2395,-6,44.3,16.4,33.1,14.6,83.6,46.0,42.4,43.9,11.9
Perez, Salvador,521692,2015,4255,-16,44.3,23.5,36.1,13.8,74.1,58.3,32.2,40.2,18.1
Butera, Drew,460077,2015,1023,-4,44.3,15.3,33.0,10.2,75.0,62.0,43.9,40.1,16.1
Thole, Josh,489365,2015,372,0,44.1,17.9,46.3,20.0,53.2,72.0,23.5,44.2,17.0
Kratz, Erik,456124,2015,109,0,44.0,28.6,66.7,100.0,86.4,50.0,36.4,19.0,10.5
Maile, Luke,571912,2015,293,0,44.0,31.6,33.3,0.0,79.4,36.2,25.0,51.3,14.3
Cabrera, Ramon,541608,2015,158,0,43.7,18.2,60.0,9.1,58.3,57.7,44.0,46.7,18.8
Saltalamacchia, Jarrod,457454,2015,1298,-5,43.6,16.4,32.5,16.7,73.2,61.7,22.2,36.0,18.9
Gimenez, Chris,460269,2015,1021,-2,43.5,17.6,28.6,5.1,83.9,52.7,43.7,40.3,18.6
Navarro, Dioner,425900,2015,1066,-2,43.5,24.2,41.2,20.0,77.6,58.1,30.1,28.7,14.7
Bethancourt, Christian,542194,2015,1207,-3,43.4,15.5,31.0,7.4,83.1,46.6,42.7,41.0,11.3
Pena, Brayan,430910,2015,2422,-7,43.4,20.8,34.4,15.4,71.6,58.5,36.4,34.5,18.8
Lavarnway, Ryan,543432,2015,762,-2,43.4,28.4,42.3,5.7,75.6,56.7,35.7,34.2,9.3
McCann, James,543510,2015,3094,-14,43.1,17.7,42.7,15.1,69.1,59.6,27.1,36.2,16.2
Ruiz, Carlos,434563,2015,2406,-11,43.0,12.8,32.3,12.9,71.8,49.2,37.2,46.1,11.7
Avila, Alex,488671,2015,1285,-6,43.0,19.5,32.6,16.4,73.5,54.2,33.7,38.8,13.6
Arencibia, J.P.,450317,2015,530,-1,42.8,28.6,27.6,0.0,82.2,48.3,34.8,42.6,17.5
Sanchez, Hector,516949,2015,288,0,42.7,35.0,35.7,0.0,75.0,57.6,57.7,25.9,13.9
Hicks, John,543308,2015,312,-1,42.6,30.0,40.0,17.6,75.8,51.4,25.0,30.2,13.5
Leon, Sandy,506702,2015,947,-5,42.6,18.0,44.3,17.0,70.1,47.8,32.3,40.4,15.3
Swihart, Blake,596119,2015,2425,-9,42.5,16.2,38.7,17.3,65.5,61.3,27.2,36.8,21.4
Hernandez, Oscar,591712,2015,232,-1,42.2,13.3,41.7,12.5,66.7,67.4,17.2,45.5,16.7
Hundley, Nick,460026,2015,2809,-11,42.2,21.9,37.4,17.7,70.6,63.7,24.8,30.1,15.9
Herrmann, Chris,543302,2015,862,-4,42.0,16.4,37.9,8.6,63.0,57.8,31.5,36.1,16.5
Barnes, Austin,605131,2015,221,0,41.6,0.0,26.5,10.0,70.5,65.8,38.9,41.0,10.7
Monell, Johnny,476192,2015,246,-1,41.1,6.3,25.9,0.0,70.9,57.1,40.0,36.1,19.2
Ellis, A.J.,454560,2015,1602,-8,40.8,24.1,51.2,10.6,71.6,59.5,20.0,23.1,11.0
Nieves, Wil,408242,2015,108,0,40.7,62.5,27.3,0.0,93.8,37.5,20.0,30.8,20.0
Stassi, Max,545358,2015,133,0,40.6,0.0,38.5,0.0,60.7,63.0,11.1,39.4,7.7
Murphy, Tom,608596,2015,327,-1,40.4,0.0,36.0,6.7,71.0,36.8,34.3,47.2,15.8
Centeno, Juan,518542,2015,166,0,40.4,0.0,32.0,0.0,69.0,52.5,40.0,35.3,12.5
Ashley, Nevin,502213,2015,151,0,39.7,25.0,42.9,11.1,88.9,50.0,25.0,40.0,13.8
Brantly, Rob,542963,2015,309,-2,36.2,15.4,23.1,10.0,55.3,57.1,16.7,33.3,15.2
Hayes, Brett,451109,2015,283,-2,35.3,18.2,31.8,0.0,55.8,56.0,9.1,40.0,12.1
Garneau, Dustin,572863,2015,598,-5,34.1,20.5,23.1,10.5,76.5,44.6,19.6,22.3,1.4
Telis, Tomas,542513,2015,162,-1,31.5,12.5,20.0,0.0,68.8,34.6,14.3,30.4,0.0
Blair, Carson,542942,2015,330,-3,29.4,5.3,16.3,5.0,61.4,37.8,25.9,27.1,6.5
