"playerid","version_date","name","age","team","lg","fraa_adj","fraa","csaa_chances","csaa","csaa_sd","csaa_runs","csaa_runs_sd","epaa_chances","epaa","epaa_runs","sraa_chances","sraa","traa","traa_runs","po_chances","po_runs"
"58548","2016-10-02","Buster Posey","29","SFN","NL","32.9","36.2","7643",".027",".002","28.9","2.0","4830","-.002","2.0","67","-.049","-.005",".121","1803","-.206"
"65870","2016-10-02","Yasmani Grandal","27","LAN","NL","29.2","33.6","6749",".029",".002","28.0","2.0","4486","0.000",".3","68","-.011",".008","0.000","1550",".354"
"58831","2016-10-02","Jason Castro","29","HOU","AL","17.4","17.7","6642",".020",".002","18.5","2.0","4615","0.000","0.0","47",".030",".001","0.000","1644","-.147"
"45449","2016-10-02","Brian McCann","32","NYA","AL","13.2","12.2","5243",".015",".003","11.0","2.1","3612","-.003","2.7","50",".015",".002","0.000","1261","-.004"
"45447","2016-10-02","Russell Martin","33","TOR","AL","12.5","13.0","7264",".015",".002","15.8","2.4","4733","0.000",".1","60",".076","-.002",".057","1802","-.671"
"49829","2016-10-02","Wilson Ramos","28","WAS","NL","11.4","10.0","7694",".010",".002","10.7","2.0","4895",".001","-1.2","44","-.050","-.008",".198","1824",".252"
"59467","2016-10-02","Roberto Perez","27","CLE","AL","10.8","10.1","3154",".017",".002","7.7","1.0","2050","-.003","1.3","24","-.078","-.004",".036","723",".662"
"31391","2016-10-02","Yadier Molina","33","SLN","NL","10.7","11.7","8949",".008",".003","10.4","4.2","5999","-.001","1.6","66",".030","-.010",".327","2339","-.406"
"39835","2016-10-02","Miguel Montero","32","CHN","NL","10.1","10.1","3749",".030",".002","16.1","1.3","2532",".003","-1.8","55",".100",".012","0.000","1800","-.671"
"66017","2016-10-02","Tony Wolters","24","COL","NL","9.8","8.8","3526",".020",".002","9.9","1.0","2536","0.000","-.1","33","-.022",".001","0.000","2032","-.459"
"58842","2016-10-02","Caleb Joseph","30","BAL","AL","9.5","9.2","2706",".020",".002","7.8",".8","1953","-.003","1.3","31","-.009","-.001",".008","712",".200"
"379","2016-10-02","David Ross","39","CHN","NL","9.2","8.7","3125",".015",".004","6.4","2.0","1958","-.005","2.1","59",".011",".009","0.000","627","1.126"
"31602","2016-10-02","Jeff Mathis","33","MIA","NL","8.9","9.1","2250",".025",".003","7.9",".9","1508","-.002",".8","28",".005",".005","0.000","519",".272"
"70317","2016-10-02","James McCann","26","DET","AL","8.5","5.9","5948",".004",".002","3.1","1.7","3774","-.001","1.1","52","-.109","-.001",".025","1455",".687"
"41774","2016-10-02","Rene Rivera","32","NYN","NL","8.1","10.5","3300",".017",".003","7.9","1.6","2119",".001","-.6","53","-.034","0.000","0.000","750","-.279"
"52532","2016-10-02","Tyler Flowers","30","ATL","NL","8.1","6.5","4925",".019",".002","13.3","1.5","3357",".001","-.8","51",".137",".002","0.000","1303","-.020"
"46730","2016-10-02","Josh Thole","29","TOR","AL","7.7","7.9","2414",".016",".005","5.6","1.6","1723","-.007","2.6","22",".016",".003","0.000","642","-.239"
"57013","2016-10-02","Derek Norris","27","SDN","NL","7.7","10.2","7454",".011",".002","11.7","2.2","5030","0.000",".2","84",".067","0.000",".007","1921","-.716"
"100316","2016-10-02","Kevin Plawecki","25","NYN","NL","7.6","7.4","2420",".021",".004","7.1","1.2","1558","-.003",".9","34",".011","-.002",".021","632","-.235"
"66719","2016-10-02","Willson Contreras","24","CHN","NL","7.6","4.3","2808",".013",".003","5.0","1.2","1921","-.003","1.4","32","-.039",".001","0.000","1332",".435"
"58767","2016-10-02","Christian Vazquez","25","BOS","AL","7.5","7.8","3185",".019",".002","8.6",".9","2086",".002","-.8","22",".011","-.004",".047","1600","-.130"
"57191","2016-10-02","Jonathan Lucroy","30","MIL","NL","7.5","-1.7","5115",".005",".002","3.8","1.6","3493","-.003","2.1","74","-.047",".007","0.000","1361","-.507"
"48082","2016-10-02","Martin Maldonado","29","MIL","NL","7.5","5.5","4239",".004",".004","2.5","2.3","2858","-.002","1.3","46","-.073","-.001",".021","1085","1.589"
"45844","2016-10-02","Francisco Cervelli","30","PIT","NL","7.4","10.4","5904",".016",".002","13.0","1.4","4035",".002","-1.9","70",".055","-.001",".021","3194","-1.190"
"55784","2016-10-02","Travis d'Arnaud","27","NYN","NL","6.2","8.2","4400",".013",".003","8.1","2.0","3054","-.001","1.0","69",".056",".006","0.000","1168","-.435"
"70378","2016-10-02","Curtis Casali","27","TBA","AL","5.5","4.8","4049",".012",".002","6.6","1.3","2793",".002","-1.3","32","-.046","0.000",".004","2072","-.772"
"57712","2016-10-02","Matt Wieters","30","BAL","AL","4.3","4.0","7158",".001",".002",".7","1.9","4757","-.001","1.0","54","-.052","-.003",".082","1772",".737"
"99903","2016-10-02","Mike Zunino","25","SEA","AL","3.9","3.7","2988",".007",".004","3.0","1.6","1890","-.004","1.6","23",".013","-.003",".031","1428","-.532"
"57191","2016-10-02","Jonathan Lucroy","30","TEX","AL","3.5","-.4","2468",".005",".002","1.8",".8","1784",".001","-.2","30","0.000",".003","0.000","685","-.255"
"47910","2016-10-02","Jose Lobaton","31","WAS","NL","3.0","1.8","2001",".009",".003","2.7",".9","1424","-.001",".3","19","-.012",".005","0.000","518","-.193"
"49755","2016-10-02","Hank Conger","28","TBA","AL","2.8","1.9","2385",".015",".003","5.0",".9","1627",".002","-.7","35",".049",".010","0.000","1196","-.446"
"66875","2016-10-02","Oscar Hernandez","22","ARI","NL","2.1",".4","201",".015",".006",".4",".2","110","-.001","0.0","0","0.000","0.000","0.000","86","1.663"
"70397","2016-10-02","Austin Hedges","23","SDN","NL","2.1","0.0","389","-.005",".004","-.3",".2","255","-.004",".2","4","-.015","-.002",".003","212","2.082"
"100036","2016-10-02","Luke Maile","25","TBA","AL","1.9","2.1","2076",".007",".004","2.1","1.1","1416","0.000",".1","20","-.008",".004","0.000","1016","-.378"
"59592","2016-10-02","Tucker Barnhart","25","CIN","NL","1.8","3.4","7165","-.002",".002","-2.3","2.1","4879","-.002","2.3","89","-.029",".002","0.000","1839",".079"
"69158","2016-10-02","Jett Bandy","26","ANA","AL","1.7","2.7","3747","-.002",".003","-1.0","1.6","2550","-.002","1.5","42","-.072","-.002",".023","1958","-.729"
"71213","2016-10-02","Jacob Stallings","26","PIT","NL","1.5","-.2","238","-.010",".004","-.3",".2","188","-.005",".2","0","0.000","0.000","0.000","72","1.668"
"59074","2016-10-02","Carlos Perez","25","ANA","AL","1.5","5.5","4981","0.000",".003","-.3","1.9","3385","-.002","1.3","50","-.045","-.003",".062","2568","-.957"
"68087","2016-10-02","Gary Sanchez","23","NYA","AL","1.2","1.4","2326",".003",".004","1.0","1.3","1521",".004","-1.4","25","-.076",".009","0.000","1058",".370"
"69886","2016-10-02","Rafael Lopez","28","CIN","NL","1.1",".2","70",".005",".004",".1","0.0","54","-.010",".1","0","0.000","-.001","0.000","24",".922"
"47155","2016-10-02","Drew Butera","32","KCA","AL","1.0",".4","2317",".005",".003","1.8","1.0","1701",".001","-.4","17",".012",".004","0.000","650","-.242"
"49220","2016-10-02","Bobby Wilson","33","TBA","AL","1.0","-.4","1862",".003",".002",".8",".5","1284","0.000","1.3","14",".112","0.000",".070","443","-.165"
"38161","2016-10-02","Erik Kratz","36","PIT","NL","1.0","0.0","975",".004",".004",".5",".5","663","0.000",".1","7","0.000","0.000",".003","522",".104"
"67758","2016-10-02","Evan Gattis","29","HOU","AL",".8",".5","3098",".009",".003","3.9","1.1","2110",".009","-4.4","25","-.080",".010","0.000","0","0.000"
"51220","2016-10-02","Juan Graterol","27","ANA","AL",".5",".6","324",".004",".005",".2",".2","230","-.009",".5","5",".019","-.001",".001","164","-.061"
"66057","2016-10-02","Elias Diaz","25","PIT","NL",".5",".1","50",".004",".005","0.0","0.0","31","-.004","0.0","1","-.013",".002","0.000","48",".448"
"56298","2016-10-02","Eric Fryer","30","SLN","NL",".5","0.0","568","-.007",".002","-.6",".2","347","-.007",".6","5","-.026","-.002",".003","138",".414"
"38161","2016-10-02","Erik Kratz","36","HOU","AL",".5","-.2","578",".004",".004",".3",".3","379",".001","0.0","8","-.007","-.001",".001","294",".189"
"59818","2016-10-02","Tomas Telis","25","MIA","NL",".4","-.2","91","-.005",".002","-.1","0.0","90","-.003",".1","2",".026",".001","0.000","30",".454"
"70673","2016-10-02","Tom Murphy","25","COL","NL",".4",".5","607",".003",".003",".3",".2","457","-.001",".1","8","-.013",".001","0.000","0","0.000"
"69513","2016-10-02","Austin Barnes","26","LAN","NL",".3","0.0","338",".009",".006",".4",".3","225",".001","0.0","2",".019","-.001",".002","102","-.038"
"40216","2016-10-02","Dioner Navarro","32","TOR","AL",".3","-.1","415","-.018",".003","-1.1",".1","315",".007","-.5","7","0.000",".018","-.017","115","1.652"
"52499","2016-10-02","Alberto Rosario","29","SLN","NL",".3",".8","616",".008",".004",".7",".3","495",".001","-.1","14",".023",".004","0.000","400","-.149"
"49220","2016-10-02","Bobby Wilson","33","TEX","AL",".3","-1.1","2383",".003",".002","1.0",".6","1614","0.000",".4","30",".051","0.000",".036","628","-.234"
"70619","2016-10-02","Carson Kelly","21","SLN","NL",".2","-.1","229","-.006",".006","-.2",".2","123","-.006",".2","0","0.000","-.003",".002","96",".262"
"59431","2016-10-02","Max Stassi","25","HOU","AL",".2","-.3","219","-.010",".007","-.3",".2","144","-.002",".1","2",".020","0.000","0.000","59",".444"
"49220","2016-10-02","Bobby Wilson","33","DET","AL",".1","0.0","300",".003",".002",".1",".1","189",".001","-.1","1","0.000","0.000","0.000","60","-.022"
"51184","2016-10-02","Jesus Sucre","28","SEA","AL","0.0","0.0","427",".001",".004",".1",".2","291","-.001",".1","4",".035","-.001",".001","230","-.086"
"69314","2016-10-02","Pedro Severino","22","WAS","NL","0.0",".5","618","-.004",".005","-.4",".5","420","-.003",".3","7","-.016",".002","0.000","160","-.060"
"55765","2016-10-02","Tony Cruz","29","KCA","AL","-.1","-.1","75","-.002",".004","0.0","0.0","58",".008","-.1","0","0.000","0.000","0.000","23","-.009"
"57096","2016-10-02","Francisco Pena","26","BAL","AL","-.1","0.0","710","-.003",".005","-.3",".5","513","-.001",".2","7","-.037","-.002",".005","438","-.163"
"69944","2016-10-02","Kevan Smith","28","CHA","AL","-.2","-.1","155","-.008",".004","-.2",".1","85","-.008",".2","2","-.005","0.000","0.000","42","-.183"
"52441","2016-10-02","Adam Moore","32","CLE","AL","-.2","-.2","211","-.010",".004","-.3",".1","168","-.002",".1","4","-.016",".001","0.000","58","-.022"
"60633","2016-10-02","J.R. Murphy","25","MIN","AL","-.2","-.6","1496",".007",".004","1.4",".9","973",".007","-1.7","13","-.014",".003","0.000","362","-.135"
"70779","2016-10-02","Andrew Susac","26","MIL","NL","-.3","-.9","247","-.023",".006","-.8",".2","143",".001","0.0","3","-.017","0.000","0.000","73",".438"
"68062","2016-10-02","Jorge Alfaro","23","PHI","NL","-.4","-.6","266",".001",".004","0.0",".1","212",".011","-.6","1","-.014",".002","0.000","78",".101"
"43102","2016-10-02","Geovany Soto","33","ANA","AL","-.5","-.7","1331",".003",".003",".5",".6","858",".001","-.2","25",".029",".010","0.000","692","-.258"
