"playerid","version_date","name","age","team","lg","fraa_adj","fraa","csaa_chances","csaa","csaa_sd","csaa_runs","csaa_runs_sd","epaa_chances","epaa","epaa_runs","sraa_chances","sraa","traa","traa_runs","po_chances","po_runs"
"57712","2019-09-29","Matt Wieters","33","SLN","NL","-7.3","-7.4","2643","-.022",".003","-8.7","1.2","1731","-.002","1.2","17","-.028","-.001","-.002","144","-.057"
"70317","2019-09-29","James McCann","29","CHA","AL","-7.6","-10.2","6448","-.008",".002","-8.0","2.1","4517",".001","-.9","45","-.029","-.002","-.011","163",".407"
"57191","2019-09-29","Jonathan Lucroy","33","ANA","AL","-8.4","-9.6","4110","-.005",".002","-3.1","1.3","2887",".007","-5.5","46","-.014",".009","0.000","559","-.186"
"49829","2019-09-29","Wilson Ramos","31","NYN","NL","-8.6","-6.7","7685","-.004",".003","-4.7","3.0","5143","0.000","-.5","100",".049",".002","0.000","12","0.000"
"70307","2019-09-29","John Hicks","29","DET","AL","-8.6","-9.6","3809","-.013",".003","-7.4","1.8","2741",".002","-1.3","43","-.005",".003","0.000","39","-.036"
"49076","2019-09-29","Kurt Suzuki","35","WAS","NL","-9.3","-8.6","4460","-.009",".002","-5.9","1.5","3060",".002","-1.7","42",".046",".006","0.000","1021","-.405"
"66719","2019-09-29","Willson Contreras","27","CHN","NL","-9.7","-7.7","6259","-.010",".002","-9.4","1.7","4305","0.000","0.0","49",".009","-.001","-.004","6","0.000"
"60649","2019-09-29","Josh Phegley","31","OAK","AL","-11.6","-14.3","5711","-.008",".003","-7.1","3.0","3689",".005","-5.5","57","-.026",".004","0.000","62","0.000"
"102743","2019-09-29","Chance Sisco","24","BAL","AL","-11.8","-11.1","2926","-.021",".003","-9.6","1.5","1898",".001","-.7","27",".027","0.000","-.001","19","-1.007"
"103420","2019-09-29","Isiah Kiner-Falefa","24","TEX","AL","-12.3","-9.3","2340","-.025",".004","-9.1","1.5","1759",".006","-3.0","15","-.002",".003","0.000","531","-.225"
"66068","2019-09-29","Omar Narvaez","27","SEA","AL","-13.7","-12.3","6032","-.009",".002","-8.2","1.6","3931",".004","-4.3","55",".028",".006","0.000","313","-.148"
"69314","2019-09-29","Pedro Severino","25","BAL","AL","-13.9","-13.8","5744","-.011",".002","-9.6","1.4","4047",".004","-4.1","40",".009","0.000","0.000","26","0.000"
"52461","2019-09-29","Welington Castillo","32","CHA","AL","-14.0","-13.7","3060","-.022",".002","-10.5",".8","2146",".005","-3.1","30",".017",".002","0.000","300","-.138"
"66057","2019-09-29","Elias Diaz","28","PIT","NL","-14.4","-11.0","5531","-.017",".003","-14.4","2.7","3941","0.000",".1","40",".003","-.001","-.005","41","-.019"
